EDGE	database	loci	loci_gene_sequential	loci_sequential	details
2218	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(1-156,embplant_pt)
2244	embplant_pt	ndhC,ndhK	ndhC>>ndhK	ndhC>>ndhK	ndhC(1-182,embplant_pt)>>ndhK(152-502,embplant_pt)
2322	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
2452	embplant_pt	psbA	psbA>>366	psbA>>366	psbA(1-67,embplant_pt)>>366
2458	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
2496	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
260	embplant_pt	ndhF	ndhF	ndhF	ndhF(1-267,embplant_pt)
2604	embplant_pt	ycf3	ycf3	ycf3	ycf3(13-239,embplant_pt)
296	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
378	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
46	embplant_pt	psaA,psaB	psaB>>psaA	psaB>>psaA	psaB(5-240,embplant_pt)>>psaA(83-191,embplant_pt)
52	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
528	embplant_pt	psaB	psaB>>934	psaB>>934	psaB(1-393,embplant_pt)>>934
566	embplant_pt	ycf1	ycf1	ycf1	ycf1(5-300,embplant_pt)
624	embplant_pt	psbA	psbA>>76	psbA>>76	psbA(1-73,embplant_pt)>>76
720	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
732	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
756	embplant_pt	psbD	psbD	psbD	psbD(111-204,embplant_pt)
758	embplant_pt	rps4	rps4	rps4	rps4(197-416,embplant_pt)
784	embplant_pt	psbA	psbA>>366	psbA>>366	psbA(1-67,embplant_pt)>>366
7858	embplant_pt	cemA	cemA	cemA	cemA(82-818,embplant_pt)
7868	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-211,embplant_pt)
7880	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
7960	embplant_pt	petB	petB	petB	petB(1-556,embplant_pt)
7966	embplant_pt	ndhD	ndhD	ndhD	ndhD(1-232,embplant_pt)
7978	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
7984	embplant_pt	rbcL	rbcL	rbcL	rbcL(63-1490,embplant_pt)
800	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
8012	embplant_pt	rps16	rps16	rps16	rps16(1-270,embplant_pt)
8214	embplant_pt	petB	petB>>1478	petB>>1478	petB(204-846,embplant_pt)>>1478
8258	embplant_pt	ndhE,ndhG,psaC	psaC>>ndhE>>ndhG	psaC>>ndhE>>ndhG	psaC(160-405,embplant_pt)>>ndhE(673-975,embplant_pt)>>ndhG(1213-1686,embplant_pt)
8264	embplant_pt	petD	petD	petD	petD(1-476,embplant_pt)
8304	embplant_pt	ycf1	ycf1	ycf1	ycf1(33-703,embplant_pt)
8316	embplant_pt	petG,psaJ,rpl33,rps18	petG>>psaJ>>rpl33>>rps18	petG>>psaJ>>rpl33>>rps18	petG(219-332,embplant_pt)>>psaJ(1162-1296,embplant_pt)>>rpl33(1738-1938,embplant_pt)>>rps18(2110-2415,embplant_pt)
834	embplant_pt	ndhA	ndhA	ndhA	ndhA(148-672,embplant_pt)
8382	embplant_pt	rps16	rps16	rps16	rps16(2-201,embplant_pt)
8436	embplant_pt	psaI,ycf4	psaI>>ycf4	psaI>>ycf4	psaI(94-204,embplant_pt)>>ycf4(624-764,embplant_pt)
8462	embplant_pt	atpB,atpE	atpB>>atpE	atpB>>atpE	atpB(2-643,embplant_pt)>>atpE(640-1037,embplant_pt)
8468	embplant_pt	ndhJ,ndhK	ndhK>>ndhJ	ndhK>>ndhJ	ndhK(1-419,embplant_pt)>>ndhJ(523-1001,embplant_pt)
8500	embplant_pt	petN	petN	petN	petN(339-428,embplant_pt)
8506	embplant_pt	ndhA,ndhI	ndhI>>ndhA	ndhI>>ndhA	ndhI(122-602,embplant_pt)>>ndhA(677-1768,embplant_pt)
8518	embplant_pt	psbI,psbK	psbK>>psbI	psbK>>psbI	psbK(147-332,embplant_pt)>>psbI(753-863,embplant_pt)
8530	embplant_pt	psbA	psbA>>8532	psbA>>8532	psbA(1-488,embplant_pt)>>8532
8538	embplant_pt	atpH	atpH	atpH	atpH(396-641,embplant_pt)
8544	embplant_pt	psbC,psbD,psbZ	psbD>>psbC>>psbZ	psbD>>psbC>>psbZ	psbD(1-291,embplant_pt)>>psbC(239-1660,embplant_pt)>>psbZ(2354-2542,embplant_pt)
8550	embplant_pt	psbE,psbF,psbJ,psbL	psbE>>psbF>>psbL>>psbJ	psbE>>psbF>>psbL>>psbJ	psbE(119-370,embplant_pt)>>psbF(380-499,embplant_pt)>>psbL(522-638,embplant_pt)>>psbJ(779-901,embplant_pt)
8556	embplant_pt	psbM	psbM	psbM	psbM(137-233,embplant_pt)
8582	embplant_pt	psbA	psbA>>1280	psbA>>1280	psbA(1-99,embplant_pt)>>1280
8678	embplant_pt	psbA	psbA>>8834	psbA>>8834	psbA(1-110,embplant_pt)>>8834
8786	embplant_pt	petA	petA>>1624	petA>>1624	petA(410-636,embplant_pt)>>1624
8798	embplant_pt	ccsA	ccsA	ccsA	ccsA(110-1030,embplant_pt)
8800	embplant_pt	psbA	psbA>>1688	psbA>>1688	psbA(1-83,embplant_pt)>>1688
8834	embplant_pt	psbA	psbA>>8678	psbA>>8678	psbA(1-273,embplant_pt)>>8678
8860	embplant_pt	psbA	psbA>>2038	psbA>>2038	psbA(1-88,embplant_pt)>>2038
916	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
928	embplant_pt	ycf3	ycf3>>942	ycf3>>942	ycf3(1-197,embplant_pt)>>942
930	embplant_pt	ycf3	ycf3	ycf3	ycf3(44-198,embplant_pt)
932	embplant_pt	ycf3	ycf3	ycf3	ycf3(1-242,embplant_pt)
934	embplant_pt	psaB	psaB>>528	psaB>>528	psaB(44-148,embplant_pt)>>528
942	embplant_pt	ycf3	ycf3	ycf3	ycf3(1-202,embplant_pt)
