EDGE	database	loci	loci_gene_sequential	loci_sequential	details
13046	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
13052	embplant_pt	matK	matK	matK	matK(332-1741,embplant_pt)
13078	embplant_pt	clpP	clpP	clpP	clpP(36-261,embplant_pt)
13080	embplant_pt	psaI,ycf4	psaI>>ycf4	psaI>>ycf4	psaI(94-204,embplant_pt)>>ycf4(624-764,embplant_pt)
13112	embplant_pt	rps16	rps16	rps16	rps16(509-713,embplant_pt)
13150	embplant_pt	atpB,atpE	atpB>>atpE	atpB>>atpE	atpB(2-643,embplant_pt)>>atpE(640-1037,embplant_pt)
13182	embplant_pt	petN	petN	petN	petN(969-1058,embplant_pt)
13196	embplant_pt	psaA,ycf3	psaA>>ycf3	psaA>>ycf3	psaA(1-436,embplant_pt)>>ycf3(1150-1385,embplant_pt)
13210	embplant_pt	ycf1	ycf1	ycf1	ycf1(2-672,embplant_pt)
13214	embplant_pt	rpl22	rpl22	rpl22	rpl22(7-302,embplant_pt)
13216	embplant_pt	petG,psaJ,rpl33,rps18	rps18>>rpl33>>psaJ>>petG	rps18>>rpl33>>psaJ>>petG	rps18(175-480,embplant_pt)>>rpl33(652-852,embplant_pt)>>psaJ(1294-1428,embplant_pt)>>petG(2258-2371,embplant_pt)
13218	embplant_pt	ycf3	ycf3	ycf3	ycf3(3-709,embplant_pt)
13224	embplant_pt	ndhA	ndhA	ndhA	ndhA(25-549,embplant_pt)
13232	embplant_pt	ccsA	ccsA	ccsA	ccsA(110-1030,embplant_pt)
13250	embplant_pt	psbC,psbD,psbZ	psbD>>psbC>>psbZ	psbD>>psbC>>psbZ	psbD(1-291,embplant_pt)>>psbC(239-1660,embplant_pt)>>psbZ(2354-2542,embplant_pt)
13256	embplant_pt	ndhA,ndhI	ndhA>>ndhI	ndhA>>ndhI	ndhA(54-1145,embplant_pt)>>ndhI(1220-1700,embplant_pt)
13292	embplant_pt	petA	petA	petA	petA(88-1050,embplant_pt)
13342	embplant_pt	psbI,psbK	psbK>>psbI	psbK>>psbI	psbK(148-333,embplant_pt)>>psbI(754-864,embplant_pt)
13348	embplant_pt	petB,psbH	psbH>>petB	psbH>>petB	psbH(17-238,embplant_pt)>>petB(363-440,embplant_pt)
13362	embplant_pt	psbA	psbA	psbA	psbA(117-1178,embplant_pt)
13364	embplant_pt	psbM	psbM	psbM	psbM(432-528,embplant_pt)
13366	embplant_pt	petB,petD	petD>>petB	petD>>petB	petD(2-110,embplant_pt)>>petB(313-955,embplant_pt)
1352	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
1702	embplant_pt	psaB	psaB	psaB	psaB(1-453,embplant_pt)
2110	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
2214	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
2734	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
2980	embplant_pt	rps16	rps16	rps16	rps16(1-295,embplant_pt)
3112	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
3542	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
3596	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
3676	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
3724	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
384	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
3874	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
604	embplant_pt	rps4	rps4	rps4	rps4(197-416,embplant_pt)
944	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
