EDGE	database	loci	loci_gene_sequential	loci_sequential	details
18424	embplant_pt	psbA	psbA>>4916	psbA>>4916	psbA(1-142,embplant_pt)>>4916
18430	embplant_pt	psbA	psbA>>16020	psbA>>16020	psbA(2-114,embplant_pt)>>16020
18446	embplant_pt	psbA	psbA>>1304	psbA>>1304	psbA(1-95,embplant_pt)>>1304
18450	embplant_pt	psbA	psbA>>992	psbA>>992	psbA(1-135,embplant_pt)>>992
18452	embplant_pt	psbA	psbA>>18290	psbA>>18290	psbA(1-78,embplant_pt)>>18290
18458	embplant_pt	psbA	psbA>>18764	psbA>>18764	psbA(1-101,embplant_pt)>>18764
18462	embplant_pt	psbA	psbA>>16358	psbA>>16358	psbA(1-117,embplant_pt)>>16358
1852	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
18614	embplant_pt	psbA	psbA>>1066	psbA>>1066	psbA(1-104,embplant_pt)>>1066
18618	embplant_pt	psbA	psbA>>4272	psbA>>4272	psbA(1-131,embplant_pt)>>4272
18620	embplant_pt	psbA	psbA>>18780	psbA>>18780	psbA(1-109,embplant_pt)>>18780
18622	embplant_pt	psbA	psbA>>5140	psbA>>5140	psbA(1-116,embplant_pt)>>5140
18626	embplant_pt	psbA	psbA>>17750	psbA>>17750	psbA(1-98,embplant_pt)>>17750
18628	embplant_pt	psbA	psbA>>18654	psbA>>18654	psbA(9-131,embplant_pt)>>18654
18634	embplant_pt	psbA	psbA>>4390	psbA>>4390	psbA(1-101,embplant_pt)>>4390
18638	embplant_pt	psbA	psbA>>18662	psbA>>18662	psbA(1-110,embplant_pt)>>18662
18640	embplant_pt	psbA	psbA>>18400	psbA>>18400	psbA(2-123,embplant_pt)>>18400
18642	embplant_pt	psbA	psbA>>18672	psbA>>18672	psbA(2-131,embplant_pt)>>18672
18644	embplant_pt	psbA	psbA>>16358	psbA>>16358	psbA(3-80,embplant_pt)>>16358
18646	embplant_pt	psbA	psbA>>17278	psbA>>17278	psbA(7-116,embplant_pt)>>17278
18648	embplant_pt	psbA	psbA>>18050	psbA>>18050	psbA(1-81,embplant_pt)>>18050
18652	embplant_pt	psbA	psbA>>18078	psbA>>18078	psbA(1-107,embplant_pt)>>18078
18654	embplant_pt	psbA	psbA>>4680	psbA>>4680	psbA(1-103,embplant_pt)>>4680
18656	embplant_pt	psbA	psbA>>18658	psbA>>18658	psbA(1-116,embplant_pt)>>18658
18658	embplant_pt	psbA	psbA>>18656	psbA>>18656	psbA(1-86,embplant_pt)>>18656
18662	embplant_pt	psbA	psbA>>17762	psbA>>17762	psbA(1-92,embplant_pt)>>17762
18666	embplant_pt	psbA	psbA>>16312	psbA>>16312	psbA(1-119,embplant_pt)>>16312
18668	embplant_pt	psbA	psbA>>18982	psbA>>18982	psbA(1-104,embplant_pt)>>18982
18672	embplant_pt	psbA	psbA>>18766	psbA>>18766	psbA(1-111,embplant_pt)>>18766
18674	embplant_pt	psbA	psbA>>16412	psbA>>16412	psbA(1-102,embplant_pt)>>16412
18676	embplant_pt	psbA	psbA>>2884	psbA>>2884	psbA(1-152,embplant_pt)>>2884
18692	embplant_pt	psbA	psbA>>18700	psbA>>18700	psbA(1-77,embplant_pt)>>18700
18700	embplant_pt	psbA	psbA>>18708	psbA>>18708	psbA(1-68,embplant_pt)>>18708
18708	embplant_pt	psbA	psbA>>19034	psbA>>19034	psbA(1-67,embplant_pt)>>19034
18744	embplant_pt	psbA	psbA>>18692	psbA>>18692	psbA(56-991,embplant_pt)>>18692
18748	embplant_pt	psbA	psbA>>158	psbA>>158	psbA(1-131,embplant_pt)>>158
18750	embplant_pt	psbA	psbA>>874	psbA>>874	psbA(1-123,embplant_pt)>>874
18752	embplant_pt	psbA	psbA>>2368	psbA>>2368	psbA(1-102,embplant_pt)>>2368
18754	embplant_pt	psbA	psbA>>1056	psbA>>1056	psbA(1-102,embplant_pt)>>1056
18760	embplant_pt	psbA	psbA>>3014	psbA>>3014	psbA(1-95,embplant_pt)>>3014
18762	embplant_pt	psbA	psbA>>17134	psbA>>17134	psbA(1-94,embplant_pt)>>17134
18764	embplant_pt	psbA	psbA>>2882	psbA>>2882	psbA(1-156,embplant_pt)>>2882
18766	embplant_pt	psbA	psbA>>19014	psbA>>19014	psbA(1-85,embplant_pt)>>19014
18768	embplant_pt	psbA	psbA>>158	psbA>>158	psbA(1-96,embplant_pt)>>158
18772	embplant_pt	psbA	psbA>>2368	psbA>>2368	psbA(1-95,embplant_pt)>>2368
18776	embplant_pt	psbA	psbA>>4390	psbA>>4390	psbA(1-109,embplant_pt)>>4390
18778	embplant_pt	psbA	psbA>>18054	psbA>>18054	psbA(1-83,embplant_pt)>>18054
18780	embplant_pt	psbA	psbA>>18620	psbA>>18620	psbA(1-91,embplant_pt)>>18620
18784	embplant_pt	psbA	psbA>>16312	psbA>>16312	psbA(1-98,embplant_pt)>>16312
18786	embplant_pt	psbA	psbA>>18934	psbA>>18934	psbA(1-78,embplant_pt)>>18934
18790	embplant_pt	psbA	psbA>>19006	psbA>>19006	psbA(1-74,embplant_pt)>>19006
18792	embplant_pt	psbA	psbA>>298	psbA>>298	psbA(1-140,embplant_pt)>>298
18794	embplant_pt	psbA	psbA>>18400	psbA>>18400	psbA(2-123,embplant_pt)>>18400
18796	embplant_pt	psbA	psbA>>4394	psbA>>4394	psbA(1-96,embplant_pt)>>4394
18798	embplant_pt	psbA	psbA>>3850	psbA>>3850	psbA(1-95,embplant_pt)>>3850
18800	embplant_pt	psbA	psbA>>18658	psbA>>18658	psbA(2-84,embplant_pt)>>18658
18816	embplant_pt	psbA	psbA>>18824	psbA>>18824	psbA(1-71,embplant_pt)>>18824
18824	embplant_pt	psbA	psbA>>18958	psbA>>18958	psbA(1-83,embplant_pt)>>18958
18916	embplant_pt	psbA	psbA>>18816	psbA>>18816	psbA(2-78,embplant_pt)>>18816
18934	embplant_pt	psbA	psbA>>18942	psbA>>18942	psbA(1-71,embplant_pt)>>18942
18942	embplant_pt	psbA	psbA>>18950	psbA>>18950	psbA(1-74,embplant_pt)>>18950
18950	embplant_pt	psbA	psbA>>18958	psbA>>18958	psbA(1-74,embplant_pt)>>18958
18982	embplant_pt	psbA	psbA>>18668	psbA>>18668	psbA(1-71,embplant_pt)>>18668
19034	embplant_pt	psbA	psbA>>18934	psbA>>18934	psbA(1-90,embplant_pt)>>18934
19036	embplant_pt	psbA	psbA>>16412	psbA>>16412	psbA(4-80,embplant_pt)>>16412
19040	embplant_pt	ycf1	ycf1	ycf1	ycf1(1-87,embplant_pt)
2342	embplant_pt	ycf3	ycf3	ycf3	ycf3(1-219,embplant_pt)
2540	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
280	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
2836	embplant_pt	ndhF	ndhF	ndhF	ndhF(1-267,embplant_pt)
3014	embplant_pt	psbA	psbA>>18760	psbA>>18760	psbA(1-81,embplant_pt)>>18760
3170	embplant_pt	ycf3	ycf3	ycf3	ycf3(13-239,embplant_pt)
3172	embplant_pt	rps4	rps4	rps4	rps4(197-416,embplant_pt)
32	embplant_pt	psbA	psbA>>18692	psbA>>18692	psbA(1-77,embplant_pt)>>18692
3224	embplant_pt	psbD	psbD	psbD	psbD(1-385,embplant_pt)
324	embplant_pt	ndhC	ndhC	ndhC	ndhC(159-354,embplant_pt)
3850	embplant_pt	psbA	psbA>>18666	psbA>>18666	psbA(2-77,embplant_pt)>>18666
3896	embplant_pt	psbA	psbA>>5064	psbA>>5064	psbA(1-67,embplant_pt)>>5064
4272	embplant_pt	psbA	psbA>>18030	psbA>>18030	psbA(1-71,embplant_pt)>>18030
4346	embplant_pt	rpoC2	rpoC2	rpoC2	rpoC2(2-209,embplant_pt)
4566	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
4634	embplant_pt	ndhD	ndhD	ndhD	ndhD(3-296,embplant_pt)
4668	embplant_pt	psbB	psbB	psbB	psbB(1-297,embplant_pt)
4680	embplant_pt	psbA	psbA>>18744	psbA>>18744	psbA(3-94,embplant_pt)>>18744
4722	embplant_pt	psbA	psbA>>3896	psbA>>3896	psbA(1-68,embplant_pt)>>3896
4844	embplant_pt	psbM	psbM	psbM	psbM(87-158,embplant_pt)
4894	embplant_pt	psbA	psbA>>16312	psbA>>16312	psbA(1-79,embplant_pt)>>16312
5064	embplant_pt	psbA	psbA>>32	psbA>>32	psbA(1-78,embplant_pt)>>32
5276	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
696	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
754	embplant_pt	psaA,psaB	psaB>>psaA	psaB>>psaA	psaB(5-240,embplant_pt)>>psaA(83-191,embplant_pt)
992	embplant_pt	psbA	psbA	psbA	psbA(3-84,embplant_pt)
