IQ-TREE multicore version 2.0.3 for Linux 64-bit built Dec 20 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    fat02 (AVX512, FMA3, 3023 GB RAM)
Command: iqtree -s virus5_rdrp.mafft.trimal.fasta -T auto -m MFP -b 1000 -redo
Seed:    313020 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Aug 14 20:27:28 2023
Kernel:  AVX+FMA - auto-detect threads (96 CPU cores detected)

Reading alignment file virus5_rdrp.mafft.trimal.fasta ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 12 sequences with 715 columns, 607 distinct patterns
421 parsimony-informative, 167 singleton sites, 127 constant sites
WARNING: Some sequence names are changed as follows:
YP_009225665.1[Panax_notoginseng_virus_A] -> YP_009225665.1_Panax_notoginseng_virus_A_
AWX94599.1_[Panax_notoginseng_virus_B] -> AWX94599.1__Panax_notoginseng_virus_B_
QFS21891.1[Taro-associated_totivirus_L] -> QFS21891.1_Taro-associated_totivirus_L_
AOX47549.1[Pterostylis_sanguinea_totivirus_A] -> AOX47549.1_Pterostylis_sanguinea_totivirus_A_
AOX47551.1[Pterostylis_sanguinea_totivirus_A] -> AOX47551.1_Pterostylis_sanguinea_totivirus_A_
UUY86183.1[Loquat_associated_totivirus_1] -> UUY86183.1_Loquat_associated_totivirus_1_
UVG55946.1[Poaceae_Liege_totivirus_14] -> UVG55946.1_Poaceae_Liege_totivirus_14_
WEL36415.1[Bursera_graveolens_associated_totivirus_1] -> WEL36415.1_Bursera_graveolens_associated_totivirus_1_
YP_009507835.1[Xanthophyllomyces_dendrorhous_virus_L1B] -> YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_
YP_001497151.1[Black_raspberry_virus_F] -> YP_001497151.1_Black_raspberry_virus_F_
NP_620495.1[Saccharomyces_cerevisiae_virus_L-A] -> NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_

                                                         Gap/Ambiguity  Composition  p-value
   1  virus5_rdrp                                               21.96%    passed     91.23%
   2  YP_009225665.1_Panax_notoginseng_virus_A_                  0.00%    passed     99.36%
   3  AWX94599.1__Panax_notoginseng_virus_B_                     0.00%    passed     99.88%
   4  QFS21891.1_Taro-associated_totivirus_L_                    0.00%    passed     97.40%
   5  AOX47549.1_Pterostylis_sanguinea_totivirus_A_              4.34%    passed     99.49%
   6  AOX47551.1_Pterostylis_sanguinea_totivirus_A_              3.08%    passed     97.59%
   7  UUY86183.1_Loquat_associated_totivirus_1_                  0.00%    passed     33.88%
   8  UVG55946.1_Poaceae_Liege_totivirus_14_                     0.28%    passed     99.90%
   9  WEL36415.1_Bursera_graveolens_associated_totivirus_1_      0.00%    passed     82.36%
  10  YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_    3.92%    passed     72.31%
  11  YP_001497151.1_Black_raspberry_virus_F_                    0.00%    passed     99.59%
  12  NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_            2.94%    passed     56.92%
****  TOTAL                                                      3.04%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Measuring multi-threading efficiency up to 96 CPU cores
Increase to 10 rounds for branch lengths
758 trees examined
Threads: 1 / Time: 96.071 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -13557
Threads: 2 / Time: 78.559 sec / Speedup: 1.223 / Efficiency: 61% / LogL: -13557
Threads: 3 / Time: 77.542 sec / Speedup: 1.239 / Efficiency: 41% / LogL: -13557
BEST NUMBER OF THREADS: 2

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -13204.388
Optimal log-likelihood: -13204.283
Proportion of invariable sites: 0.081
Gamma shape alpha: 0.802
Parameters optimization took 1 rounds (0.032 sec)
Time for fast ML tree search: 0.258 seconds

NOTE: ModelFinder requires 11 MB RAM!
ModelFinder will test up to 546 protein models (sample size: 715) ...
 No. Model         -LnL         df  AIC          AICc         BIC
367  mtInv+G4      14227.321    22  28498.642    28500.104    28599.232
368  mtInv+I+G4    14227.971    23  28501.941    28503.539    28607.104
380  mtInv+F+G4    13333.860    41  26749.720    26754.838    26937.184
381  mtInv+F+I+G4  13332.787    42  26749.573    26754.948    26941.609
393  mtMAM+G4      14411.470    22  28866.941    28868.403    28967.531
394  mtMAM+I+G4    14412.070    23  28870.140    28871.737    28975.302
406  mtMAM+F+G4    13644.224    41  27370.448    27375.565    27557.911
407  mtMAM+F+I+G4  13644.688    42  27373.375    27378.750    27565.411
419  HIVb+G4       13618.596    22  27281.192    27282.654    27381.782
420  HIVb+I+G4     13612.720    23  27271.440    27273.038    27376.603
432  HIVb+F+G4     13501.970    41  27085.940    27091.058    27273.404
433  HIVb+F+I+G4   13497.167    42  27078.334    27083.709    27270.370
445  HIVw+G4       14177.990    22  28399.979    28401.442    28500.569
446  HIVw+I+G4     14173.269    23  28392.539    28394.137    28497.701
458  HIVw+F+G4     13814.363    41  27710.726    27715.843    27898.189
459  HIVw+F+I+G4   13808.999    42  27701.999    27707.374    27894.034
471  FLU+G4        13602.534    22  27249.069    27250.531    27349.659
472  FLU+I+G4      13600.326    23  27246.653    27248.251    27351.815
484  FLU+F+G4      13460.235    41  27002.469    27007.587    27189.933
485  FLU+F+I+G4    13458.622    42  27001.243    27006.618    27193.279
497  rtREV+G4      13364.029    22  26772.057    26773.520    26872.647
498  rtREV+I+G4    13360.819    23  26767.637    26769.235    26872.800
510  rtREV+F+G4    13203.201    41  26488.402    26493.520    26675.866
511  rtREV+F+I+G4  13200.576    42  26485.153    26490.528    26677.189
523  cpREV+G4      13371.932    22  26787.865    26789.327    26888.455
524  cpREV+I+G4    13365.119    23  26776.238    26777.836    26881.401
536  cpREV+F+G4    13252.075    41  26586.151    26591.268    26773.615
537  cpREV+F+I+G4  13244.455    42  26572.911    26578.286    26764.947
Akaike Information Criterion:           LG+F+I+G4
Corrected Akaike Information Criterion: LG+F+I+G4
Bayesian Information Criterion:         LG+G4
Best-fit model: LG+G4 chosen according to BIC

All model information printed to virus5_rdrp.mafft.trimal.fasta.model.gz
CPU time for ModelFinder: 547.808 seconds (0h:9m:7s)
Wall-clock time for ModelFinder: 284.268 seconds (0h:4m:44s)

===> START BOOTSTRAP REPLICATE NUMBER 1

Creating bootstrap alignment (seed: 313020)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13193.912
2. Current log-likelihood: -12996.559
3. Current log-likelihood: -12995.179
Optimal log-likelihood: -12995.159
Gamma shape alpha: 0.614
Parameters optimization took 3 rounds (0.086 sec)
Computing ML distances based on estimated model parameters... 0.018 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13012.427
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.128 second
Computing log-likelihood of 95 initial trees ... 0.681 seconds
Current best score: -12995.159

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -12990.670
Iteration 10 / LogL: -12991.807 / Time: 0h:0m:1s
Iteration 20 / LogL: -12990.872 / Time: 0h:0m:2s
Finish initializing candidate tree set (3)
Current best tree score: -12990.670 / CPU time: 2.421
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -12990.681 / Time: 0h:0m:3s (0h:0m:8s left)
Iteration 40 / LogL: -12990.675 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -12994.464 / Time: 0h:0m:5s (0h:0m:5s left)
Iteration 60 / LogL: -12991.458 / Time: 0h:0m:6s (0h:0m:4s left)
Iteration 70 / LogL: -12990.779 / Time: 0h:0m:7s (0h:0m:3s left)
Iteration 80 / LogL: -12990.869 / Time: 0h:0m:8s (0h:0m:2s left)
Iteration 90 / LogL: -12994.856 / Time: 0h:0m:9s (0h:0m:1s left)
UPDATE BEST LOG-LIKELIHOOD: -12990.670
Iteration 100 / LogL: -12995.917 / Time: 0h:0m:10s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:10s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -12990.670
Optimal log-likelihood: -12990.670
Gamma shape alpha: 0.615
Parameters optimization took 1 rounds (0.020 sec)
BEST SCORE FOUND : -12990.670
Total tree length: 9.210

Total number of iterations: 102
CPU time used for tree search: 20.794 sec (0h:0m:20s)
Wall-clock time used for tree search: 10.513 sec (0h:0m:10s)
Total CPU time used: 21.097 sec (0h:0m:21s)
Total wall-clock time used: 10.666 sec (0h:0m:10s)

===> START BOOTSTRAP REPLICATE NUMBER 2

Creating bootstrap alignment (seed: 313021)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13407.794
2. Current log-likelihood: -13173.475
3. Current log-likelihood: -13163.860
4. Current log-likelihood: -13163.635
Optimal log-likelihood: -13163.624
Gamma shape alpha: 0.584
Parameters optimization took 4 rounds (0.127 sec)
Computing ML distances based on estimated model parameters... 0.019 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13183.355
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.129 second
Computing log-likelihood of 98 initial trees ... 0.715 seconds
Current best score: -13163.624

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13158.153
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 2: -13157.941
Iteration 10 / LogL: -13157.962 / Time: 0h:0m:2s
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 12: -13155.827
Iteration 20 / LogL: -13157.987 / Time: 0h:0m:3s
Finish initializing candidate tree set (11)
Current best tree score: -13155.827 / CPU time: 3.030
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13160.849 / Time: 0h:0m:4s (0h:0m:11s left)
UPDATE BEST LOG-LIKELIHOOD: -13155.827
Iteration 40 / LogL: -13158.046 / Time: 0h:0m:4s (0h:0m:9s left)
Iteration 50 / LogL: -13157.983 / Time: 0h:0m:5s (0h:0m:7s left)
Iteration 60 / LogL: -13158.344 / Time: 0h:0m:6s (0h:0m:6s left)
UPDATE BEST LOG-LIKELIHOOD: -13155.827
Iteration 70 / LogL: -13158.046 / Time: 0h:0m:7s (0h:0m:4s left)
Iteration 80 / LogL: -13157.961 / Time: 0h:0m:8s (0h:0m:3s left)
Iteration 90 / LogL: -13158.022 / Time: 0h:0m:9s (0h:0m:2s left)
Iteration 100 / LogL: -13155.861 / Time: 0h:0m:10s (0h:0m:1s left)
Iteration 110 / LogL: -13157.435 / Time: 0h:0m:11s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 113 ITERATIONS / Time: 0h:0m:11s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13155.827
Optimal log-likelihood: -13155.823
Gamma shape alpha: 0.597
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13155.823
Total tree length: 9.663

Total number of iterations: 113
CPU time used for tree search: 23.055 sec (0h:0m:23s)
Wall-clock time used for tree search: 11.650 sec (0h:0m:11s)
Total CPU time used: 23.467 sec (0h:0m:23s)
Total wall-clock time used: 11.857 sec (0h:0m:11s)

===> START BOOTSTRAP REPLICATE NUMBER 3

Creating bootstrap alignment (seed: 313022)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13432.549
2. Current log-likelihood: -13234.431
3. Current log-likelihood: -13228.081
Optimal log-likelihood: -13227.968
Gamma shape alpha: 0.683
Parameters optimization took 3 rounds (0.108 sec)
Computing ML distances based on estimated model parameters... 0.016 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13220.040
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.118 second
Computing log-likelihood of 97 initial trees ... 0.718 seconds
Current best score: -13209.520

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13195.469
Iteration 10 / LogL: -13201.687 / Time: 0h:0m:1s
Iteration 20 / LogL: -13201.984 / Time: 0h:0m:2s
Finish initializing candidate tree set (4)
Current best tree score: -13195.469 / CPU time: 2.634
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13195.484 / Time: 0h:0m:3s (0h:0m:9s left)
Iteration 40 / LogL: -13195.483 / Time: 0h:0m:4s (0h:0m:7s left)
Iteration 50 / LogL: -13196.809 / Time: 0h:0m:5s (0h:0m:5s left)
Iteration 60 / LogL: -13196.958 / Time: 0h:0m:6s (0h:0m:4s left)
Iteration 70 / LogL: -13196.398 / Time: 0h:0m:7s (0h:0m:3s left)
Iteration 80 / LogL: -13195.547 / Time: 0h:0m:8s (0h:0m:2s left)
UPDATE BEST LOG-LIKELIHOOD: -13195.469
Iteration 90 / LogL: -13197.929 / Time: 0h:0m:8s (0h:0m:1s left)
Iteration 100 / LogL: -13195.554 / Time: 0h:0m:9s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:0m:9s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -13195.469
Optimal log-likelihood: -13195.468
Gamma shape alpha: 0.676
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -13195.468
Total tree length: 9.162

Total number of iterations: 102
CPU time used for tree search: 19.013 sec (0h:0m:19s)
Wall-clock time used for tree search: 9.612 sec (0h:0m:9s)
Total CPU time used: 19.382 sec (0h:0m:19s)
Total wall-clock time used: 9.798 sec (0h:0m:9s)

===> START BOOTSTRAP REPLICATE NUMBER 4

Creating bootstrap alignment (seed: 313023)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13275.314
2. Current log-likelihood: -13060.906
3. Current log-likelihood: -13049.517
4. Current log-likelihood: -13049.151
Optimal log-likelihood: -13049.116
Gamma shape alpha: 0.600
Parameters optimization took 4 rounds (0.126 sec)
Computing ML distances based on estimated model parameters... 0.015 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13000.193
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.121 second
Computing log-likelihood of 98 initial trees ... 0.724 seconds
Current best score: -13000.193

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -12983.887
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 3: -12983.131
Iteration 10 / LogL: -12990.692 / Time: 0h:0m:2s
Iteration 20 / LogL: -12989.343 / Time: 0h:0m:3s
Finish initializing candidate tree set (8)
Current best tree score: -12983.131 / CPU time: 3.338
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -12983.297 / Time: 0h:0m:4s (0h:0m:12s left)
UPDATE BEST LOG-LIKELIHOOD: -12983.130
Iteration 40 / LogL: -12983.204 / Time: 0h:0m:6s (0h:0m:9s left)
Iteration 50 / LogL: -12983.896 / Time: 0h:0m:7s (0h:0m:7s left)
Iteration 60 / LogL: -12984.180 / Time: 0h:0m:8s (0h:0m:6s left)
Iteration 70 / LogL: -12983.141 / Time: 0h:0m:9s (0h:0m:4s left)
Iteration 80 / LogL: -12984.176 / Time: 0h:0m:11s (0h:0m:3s left)
Iteration 90 / LogL: -12986.160 / Time: 0h:0m:12s (0h:0m:1s left)
Iteration 100 / LogL: -12983.139 / Time: 0h:0m:13s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 104 ITERATIONS / Time: 0h:0m:13s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -12983.130
Optimal log-likelihood: -12983.129
Gamma shape alpha: 0.602
Parameters optimization took 1 rounds (0.019 sec)
BEST SCORE FOUND : -12983.129
Total tree length: 9.983

Total number of iterations: 104
CPU time used for tree search: 27.090 sec (0h:0m:27s)
Wall-clock time used for tree search: 13.671 sec (0h:0m:13s)
Total CPU time used: 27.503 sec (0h:0m:27s)
Total wall-clock time used: 13.879 sec (0h:0m:13s)

===> START BOOTSTRAP REPLICATE NUMBER 5

Creating bootstrap alignment (seed: 313024)...

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -13762.785
2. Current log-likelihood: -13554.632
3. Current log-likelihood: -13542.948
4. Current log-likelihood: -13542.443
Optimal log-likelihood: -13542.389
Gamma shape alpha: 0.565
Parameters optimization took 4 rounds (0.126 sec)
Computing ML distances based on estimated model parameters... 0.019 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -13569.335
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.132 second
Computing log-likelihood of 96 initial trees ... 0.703 seconds
Current best score: -13542.389

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -13530.644
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 2: -13524.588
Iteration 10 / LogL: -13530.345 / Time: 0h:0m:2s
Iteration 20 / LogL: -13552.784 / Time: 0h:0m:3s
Finish initializing candidate tree set (7)
Current best tree score: -13524.588 / CPU time: 2.918
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Iteration 30 / LogL: -13524.712 / Time: 0h:0m:4s (0h:0m:10s left)
Iteration 40 / LogL: -13524.647 / Time: 0h:0m:5s (0h:0m:8s left)
Iteration 50 / LogL: -13530.687 / Time: 0h:0m:5s (0h:0m:6s left)
Iteration 60 / LogL: -13530.651 / Time: 0h:0m:6s (0h:0m:4s left)
Iteration 70 / LogL: -13524.630 / Time: 0h:0m:7s (0h:0m:3s left)
